classe;control;produto;ano;litros
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1988-01-01;11713661
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1989-01-01;14737896
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1990-01-01;11141857
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1991-01-01;9015204
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1992-01-01;10712402
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1993-01-01;11988665
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1994-01-01;13290842
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1995-01-01;12299213
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1996-01-01;13540528
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1997-01-01;18303579
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1998-01-01;11925188
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1999-01-01;14706398
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2000-01-01;15119076
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2001-01-01;12112495
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2002-01-01;12109658
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2003-01-01;12559693
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2004-01-01;10859722
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2005-01-01;13335767
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2006-01-01;13920655
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2007-01-01;13872339
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2008-01-01;13920224
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2009-01-01;19576295
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2010-01-01;15184398
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2011-01-01;14876896
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2012-01-01;15443016
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2013-01-01;19121750
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2014-01-01;15354938
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2015-01-01;15572632
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2016-01-01;15228514
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2017-01-01;12021684
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2018-01-01;11150517
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2019-01-01;11433702
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2020-01-01;18202453
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2021-01-01;19337862
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;2022-01-01;15258778
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1970-01-01;183234
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1971-01-01;227299
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1972-01-01;403664
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1973-01-01;1377333
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1974-01-01;1725564
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1975-01-01;2130619
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1976-01-01;3118919
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1977-01-01;3248565
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1978-01-01;3501895
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1979-01-01;4119615
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1980-01-01;5096819
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1981-01-01;2738962
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1982-01-01;3608877
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1983-01-01;3548807
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1984-01-01;3714334
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1985-01-01;3510330
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1986-01-01;3685709
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1987-01-01;2328264
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1988-01-01;1939881
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1989-01-01;2596587
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1990-01-01;1583368
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1991-01-01;1342140
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1992-01-01;1130509
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1993-01-01;1639949
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1994-01-01;1631454
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1995-01-01;1540910
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1996-01-01;1457704
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1997-01-01;1997373
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1998-01-01;1585687
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;1999-01-01;1479987
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2000-01-01;1021310
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2001-01-01;790176
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2002-01-01;650263
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2003-01-01;579724
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2004-01-01;390371
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2005-01-01;472971
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2006-01-01;307189
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2007-01-01;416285
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2008-01-01;313513
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2009-01-01;213835
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2010-01-01;236802
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2011-01-01;211484
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2012-01-01;150806
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2013-01-01;214269
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2014-01-01;164219
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2015-01-01;169185
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2016-01-01;172351
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2017-01-01;182080
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2018-01-01;262430
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2019-01-01;503524
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2020-01-01;993248
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2021-01-01;1603537
VINHO  FINO DE MESA;vfm_Rosado;  Rosado;2022-01-01;1318396
VINHO  FINO DE MESA;vfm_Branco;  Branco;1970-01-01;3812041
VINHO  FINO DE MESA;vfm_Branco;  Branco;1971-01-01;4184143
VINHO  FINO DE MESA;vfm_Branco;  Branco;1972-01-01;4573928
VINHO  FINO DE MESA;vfm_Branco;  Branco;1973-01-01;5041989
VINHO  FINO DE MESA;vfm_Branco;  Branco;1974-01-01;4230094
VINHO  FINO DE MESA;vfm_Branco;  Branco;1975-01-01;4666724
VINHO  FINO DE MESA;vfm_Branco;  Branco;1976-01-01;6526159
VINHO  FINO DE MESA;vfm_Branco;  Branco;1977-01-01;7222462
VINHO  FINO DE MESA;vfm_Branco;  Branco;1978-01-01;9174259
VINHO  FINO DE MESA;vfm_Branco;  Branco;1979-01-01;11215938
VINHO  FINO DE MESA;vfm_Branco;  Branco;1980-01-01;10635138
VINHO  FINO DE MESA;vfm_Branco;  Branco;1981-01-01;11465251
VINHO  FINO DE MESA;vfm_Branco;  Branco;1982-01-01;14995041
VINHO  FINO DE MESA;vfm_Branco;  Branco;1983-01-01;19329787
VINHO  FINO DE MESA;vfm_Branco;  Branco;1984-01-01;23652774
VINHO  FINO DE MESA;vfm_Branco;  Branco;1985-01-01;27955194
VINHO  FINO DE MESA;vfm_Branco;  Branco;1986-01-01;31531559
VINHO  FINO DE MESA;vfm_Branco;  Branco;1987-01-01;21863035
VINHO  FINO DE MESA;vfm_Branco;  Branco;1988-01-01;26360844
VINHO  FINO DE MESA;vfm_Branco;  Branco;1989-01-01;33055779
VINHO  FINO DE MESA;vfm_Branco;  Branco;1990-01-01;27160034
VINHO  FINO DE MESA;vfm_Branco;  Branco;1991-01-01;27168767
VINHO  FINO DE MESA;vfm_Branco;  Branco;1992-01-01;27694149
VINHO  FINO DE MESA;vfm_Branco;  Branco;1993-01-01;36287498
VINHO  FINO DE MESA;vfm_Branco;  Branco;1994-01-01;31619622
VINHO  FINO DE MESA;vfm_Branco;  Branco;1995-01-01;26355378
VINHO  FINO DE MESA;vfm_Branco;  Branco;1996-01-01;28697539
VINHO  FINO DE MESA;vfm_Branco;  Branco;1997-01-01;26141257
VINHO  FINO DE MESA;vfm_Branco;  Branco;1998-01-01;18945443
