classe;pais;ano;kg;valor
Espumantes;Brasil;1974-01-01;0;0
Espumantes;Brasil;1975-01-01;0;0
Espumantes;Brasil;1976-01-01;0;0
Espumantes;Brasil;1977-01-01;0;0
Espumantes;Brasil;1978-01-01;0;0
Espumantes;Brasil;1979-01-01;0;0
Espumantes;Brasil;1980-01-01;0;0
Espumantes;Brasil;1981-01-01;0;0
Espumantes;Brasil;1982-01-01;0;0
Espumantes;Brasil;1983-01-01;0;0
Espumantes;Brasil;1984-01-01;0;0
Espumantes;Brasil;1985-01-01;0;0
Espumantes;Brasil;1986-01-01;0;0
Espumantes;Brasil;1987-01-01;0;0
Espumantes;Brasil;1988-01-01;0;0
Espumantes;Brasil;1989-01-01;0;0
Espumantes;Brasil;1990-01-01;0;0
Espumantes;Brasil;1991-01-01;0;0
Espumantes;Brasil;1992-01-01;0;0
Espumantes;Brasil;1993-01-01;0;0
Espumantes;Brasil;1994-01-01;0;0
Espumantes;Brasil;1995-01-01;0;0
Espumantes;Brasil;1996-01-01;0;0
Espumantes;Brasil;1997-01-01;0;0
Espumantes;Brasil;1998-01-01;0;0
Espumantes;Brasil;1999-01-01;0;0
Espumantes;Brasil;2000-01-01;0;0
Espumantes;Brasil;2001-01-01;0;0
Espumantes;Brasil;2002-01-01;0;0
Espumantes;Brasil;2003-01-01;0;0
Espumantes;Brasil;2004-01-01;5357;17451
Espumantes;Brasil;2005-01-01;9801;33151
Espumantes;Brasil;2006-01-01;16225;63088
Espumantes;Brasil;2007-01-01;4092;22079
Espumantes;Brasil;2008-01-01;1072;7645
Espumantes;Brasil;2009-01-01;0;0
Espumantes;Brasil;2010-01-01;468;62570
Espumantes;Brasil;2011-01-01;6210;52984
Espumantes;Brasil;2012-01-01;60601;313190
Espumantes;Brasil;2013-01-01;10195;44337
Espumantes;Brasil;2014-01-01;8606;37228
Espumantes;Brasil;2015-01-01;6383;47936
Espumantes;Brasil;2016-01-01;1014;4936
Espumantes;Brasil;2017-01-01;6166;180512
Espumantes;Brasil;2018-01-01;566215;162992
Espumantes;Brasil;2019-01-01;15464;238268
Espumantes;Bulgaria;1971-01-01;0;0
Espumantes;Bulgaria;1972-01-01;0;0
Espumantes;Bulgaria;1973-01-01;0;0
Espumantes;Bulgaria;1974-01-01;0;0
Espumantes;Bulgaria;1975-01-01;0;0
Espumantes;Bulgaria;1976-01-01;0;0
Espumantes;Bulgaria;1977-01-01;0;0
Espumantes;Bulgaria;1978-01-01;0;0
Espumantes;Bulgaria;1979-01-01;0;0
Espumantes;Bulgaria;1980-01-01;0;0
Espumantes;Bulgaria;1981-01-01;0;0
Espumantes;Bulgaria;1982-01-01;0;0
Espumantes;Bulgaria;1983-01-01;0;0
Espumantes;Bulgaria;1984-01-01;0;0
Espumantes;Bulgaria;1985-01-01;0;0
Espumantes;Bulgaria;1986-01-01;0;0
Espumantes;Bulgaria;1987-01-01;0;0
Espumantes;Bulgaria;1988-01-01;0;0
Espumantes;Bulgaria;1989-01-01;0;0
Espumantes;Bulgaria;1990-01-01;0;0
Espumantes;Bulgaria;1991-01-01;0;0
Espumantes;Bulgaria;1992-01-01;0;0
Espumantes;Bulgaria;1993-01-01;0;0
Espumantes;Bulgaria;1994-01-01;0;0
Espumantes;Bulgaria;1995-01-01;0;0
Espumantes;Bulgaria;1996-01-01;0;0
Espumantes;Bulgaria;1997-01-01;0;0
Espumantes;Bulgaria;1998-01-01;0;0
Espumantes;Bulgaria;1999-01-01;0;0
Espumantes;Bulgaria;2000-01-01;0;0
Espumantes;Bulgaria;2001-01-01;0;0
Espumantes;Bulgaria;2002-01-01;0;0
Espumantes;Bulgaria;2003-01-01;0;0
Espumantes;Bulgaria;2004-01-01;0;0
Espumantes;Bulgaria;2005-01-01;0;0
Espumantes;Bulgaria;2006-01-01;0;0
Espumantes;Bulgaria;2007-01-01;0;0
Espumantes;Bulgaria;2008-01-01;0;0
Espumantes;Bulgaria;2009-01-01;0;0
Espumantes;Bulgaria;2010-01-01;0;0
Espumantes;Bulgaria;2011-01-01;0;0
